"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
150.9424268,-0.4018489455,0.6081531125,1.074136439,1.298114738
150.9524198,0.6749826944,0.73874892,1.085095217,1.4760702
150.9624128,1.723939853,0.7260095912,1.135007708,2.187990183
150.9724058,2.676084078,0.569076755,1.003683995,2.914216174
150.9823988,3.143259359,0.414783352,0.4906368687,3.208247055
150.9923918,3.371938409,0.511540153,-0.4857667959,3.444939962
151.0023848,3.440016663,0.6329511541,-1.900710538,3.98083438
151.0123768,3.36435457,0.705677653,-2.803995429,4.436130407
151.0223698,3.503102858,0.8333083373,-3.049314777,4.718522335
151.0323628,4.012278397,0.9877251166,-2.538166387,4.849357426
151.0423558,4.598155664,0.9532095873,-1.54630612,4.943956578
151.0523488,5.121111921,0.5104432154,-0.7760752058,5.204674083
151.0623418,5.241566902,-0.014929111,-0.4044264713,5.257167226
151.0723348,4.75515662,-0.5327696389,-0.06598305121,4.785364326
151.0823278,3.999994566,-0.9298271567,0.005552077442,4.106648986
151.0923208,3.162622706,-1.326991094,-0.4203178147,3.45539503
151.1023138,2.739115309,-2.279351081,-1.060777305,3.717989042
151.1123058,2.55146968,-3.621095869,-1.546899027,4.692038941
151.1222988,2.187092981,-4.573435975,-1.943986951,5.429436213
151.1322918,1.884946883,-4.902614921,-1.874486361,5.576948711
151.1422848,2.025362505,-5.379928982,-0.9175556052,5.821308909
151.1522778,2.179281978,-5.823421578,0.2514226717,6.222919104
151.1622708,2.329520629,-6.015163473,0.9593397351,6.521440846
151.1722638,2.376365305,-5.885622504,1.222068656,6.463831381
151.1822568,1.88344371,-5.739180157,0.4408548441,6.056393488
151.1922498,0.4043890857,-5.520246955,-1.169457749,5.657233281
151.2022428,-0.9527392519,-4.586284647,-3.042256018,5.585431105
151.2122348,-1.639417182,-2.987670506,-4.415529578,5.577702502
151.2222278,-1.444656515,-1.345527352,-3.510147876,4.027234089
151.2322208,-1.168353867,-0.09880274177,-1.623761262,2.002851312
151.2422138,-1.404828936,0.6388299447,0.06161795855,1.544488527
151.2522068,-1.948153969,1.081681686,0.9832467341,2.435593007
151.2621998,-2.594044134,1.139237584,1.07979479,3.031976918
151.2721928,-3.508732849,0.6982113433,1.062539729,3.731982846
151.2821858,-3.981555664,0.281177398,0.888657496,4.089200213
151.2921788,-3.732293538,0.1333328891,0.3886983383,3.754847416
151.3021718,-3.095004627,0.09416063726,-0.2839478087,3.109428601
151.3121648,-2.390396138,-0.01660082996,-0.9477390786,2.571474022
151.3221568,-1.97235998,-0.4606822407,-1.366990142,2.44358222
151.3321498,-2.159341657,-1.049468206,-1.164245833,2.668259408
151.3421428,-3.038555023,-1.554941872,-0.5264109381,3.45366028
151.3521358,-3.954297699,-1.456891083,0.2928192043,4.224304085
151.3621288,-4.600213592,-1.163435701,1.045078847,4.858779427
151.3721218,-4.793245091,-0.3788861257,1.53420326,5.047032082
151.3821148,-4.890326412,0.2664231187,1.723032219,5.191831442
151.3921078,-4.653528212,0.9054898757,1.756914349,5.05588615
151.4021008,-4.118914653,1.45613036,1.769714927,4.71356176
151.4120938,-3.276460686,1.54363862,1.891842066,4.086206213
151.4220858,-2.515700507,1.735254216,2.1109463,3.714290042
151.4320788,-1.763611165,1.507693446,1.857319812,2.972053289
151.4420718,-1.042684851,0.9876385778,1.426449308,2.024198431
151.4520648,-0.7091456366,0.6369892412,1.301985768,1.613632476
151.4620578,-0.6848905089,0.5165506321,1.219451735,1.490960126
151.4720508,-0.8382936734,0.668168934,1.147091564,1.570033459
151.4820438,-1.288739194,1.015954889,1.110459635,1.981447362
151.4920368,-1.925462094,1.429330232,1.097479986,2.637205245
151.5020298,-2.544453606,1.882659014,1.203792891,3.386409077
151.5120228,-3.022259417,2.369676529,1.477167765,4.114783523
151.5220158,-3.426606659,2.855618742,1.840005037,4.82512281
151.5320078,-3.669937077,3.379570194,2.095179429,5.411072877
151.5420008,-3.912165586,3.983773513,2.200821074,6.00159182
151.5519938,-4.193337722,4.439789675,2.099163429,6.457731855
151.5619868,-4.407477669,4.971114467,1.830862039,6.89129119
151.5719798,-4.506963658,5.413871484,1.477151392,7.197548339
151.5819728,-4.432543806,5.300931344,1.108887026,6.998353245
151.5919658,-4.025325874,4.712014986,0.6912660205,6.235718269
151.6019588,-3.146627648,3.792616923,0.2271668132,4.933235596
151.6119518,-1.935183675,2.488607726,-0.6066252351,3.210311269
151.6219448,-0.5124192819,0.8562650907,-2.024379588,2.256961706
151.6319368,1.1597005,-0.9611986381,-3.797178336,4.085017918
151.6419298,3.739574784,-2.98854408,-5.112131767,7.003549563
151.6519228,7.765635653,-4.68132529,-4.815353998,10.26681731
151.6619158,12.25251062,-4.884638241,-3.229791427,13.57995802
151.6719088,14.4737661,-3.438446978,-2.88510625,15.15376722
151.6819027,13.76674534,-1.888412089,-4.580534495,14.63115422
151.6918957,11.01077134,-0.7805986118,-6.25004788,12.68501156
