"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
"6.795990833E-1","-1.017301210E0","-2.898204305E0","-6.999251037E0","7.643559709E0"
"6.896180834E-1","-1.840585666E0","-2.587021043E0","-7.836403919E0","8.455155815E0"
"6.996380833E-1","-2.779768075E0","-2.438861662E0","-8.078195642E0","8.884390895E0"
"7.096580833E-1","-4.145273609E0","-2.942696354E0","-8.130869699E0","9.589254256E0"
"7.196780833E-1","-3.868687445E0","-3.423753802E0","-7.553215663E0","9.150950743E0"
"7.296980833E-1","-3.286975442E0","-3.725148241E0","-6.801698763E0","8.422828684E0"
"7.397180834E-1","-3.867497537E0","-3.933358527E0","-6.190986325E0","8.291993618E0"
"7.497370833E-1","-4.455014071E0","-3.867151966E0","-5.132619241E0","7.819577673E0"
"7.597570833E-1","-5.093125978E0","-3.573356861E0","-4.160344515E0","7.484469117E0"
"7.697770833E-1","-4.127815577E0","-2.119325360E0","-3.570391738E0","5.854750088E0"
"7.797970833E-1","-3.601585464E0","-1.237842836E0","-3.654469437E0","5.278145471E0"
"7.898170833E-1","-3.592878376E0","-1.521289684E0","-3.290203105E0","5.103776425E0"
"7.998370833E-1","-3.611408787E0","-1.964225918E0","-1.529526365E0","4.386331928E0"
"8.098560834E-1","-4.024736767E0","-1.439057952E0","-1.757146776E-1","4.277881424E0"
"8.198760833E-1","-4.609648951E0","-6.435167804E-1","4.552888421E-1","4.676565538E0"
"8.298960833E-1","-4.793409982E0","6.008467242E-2","9.673692048E-1","4.890418449E0"
"8.399160833E-1","-4.384392570E0","6.763500658E-1","1.728750358E0","4.761189496E0"
"8.499360833E-1","-3.889959615E0","1.419099066E0","2.694503684E0","4.940240690E0"
"8.599560834E-1","-3.669575134E0","1.985432600E0","3.633730240E0","5.532785892E0"
"8.699750833E-1","-2.536856026E0","2.628649418E0","3.878783832E0","5.328264284E0"
