"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.332348333E-1,1.381382712E1,9.626561735E0,2.141450931E0,1.697287020E1
6.432258333E-1,1.189626900E1,1.022690998E1,-5.412792380E-1,1.569725732E1
6.532178333E-1,9.599600809E0,1.054712807E1,-3.213084762E0,1.461910257E1
6.632088333E-1,6.918339606E0,1.051819605E1,-5.411451906E0,1.370327270E1
6.732008333E-1,4.251760762E0,8.892368966E0,-6.879273189E0,1.201982092E1
6.831918333E-1,1.707111567E0,6.101182448E0,-9.097660614E0,1.108630172E1
6.931838333E-1,7.202372199E-1,5.433806981E0,-7.312946556E0,9.139156815E0
7.031748333E-1,-6.147633898E-1,6.520325484E0,-4.610215254E0,8.009161200E0
7.131668333E-1,-2.652907469E0,6.342098258E0,-3.827815408E0,7.868436893E0
7.231578333E-1,-6.414702550E0,3.742440796E0,-3.929856922E0,8.402264418E0
7.331498333E-1,-1.095276813E1,4.424952950E0,-7.368459436E-1,1.183580501E1
7.431408333E-1,-8.685033715E0,6.138643219E0,-4.216316110E-1,1.064380216E1
7.531328333E-1,-5.278273968E0,1.563370634E0,-5.128753062E0,7.523856179E0
7.631238333E-1,-3.821705067E0,-6.157270110E-1,-3.386272273E0,5.143091413E0
7.731158333E-1,-3.345234175E0,1.190652736E0,9.014351240E-1,3.663445223E0
7.831068333E-1,-3.342798809E0,9.225502968E-1,8.106407288E-1,3.561255582E0
7.930988333E-1,-2.827720506E0,-4.482785422E-1,-1.602523005E-1,2.867514204E0
8.030898333E-1,-1.745995551E0,-8.041716617E-1,1.091316143E0,2.210466794E0
8.130818333E-1,-1.048878806E0,-7.510238044E0,3.497922809E0,8.351005101E0
8.230728333E-1,-1.639202589E0,-4.713337626E0,4.430994586E0,6.673548511E0
8.330648333E-1,-1.050068715E0,3.587343986E0,5.768581127E0,6.873733294E0
8.430558333E-1,-2.636486149E0,-6.956869833E0,5.026534377E0,8.978593706E0
8.530478333E-1,-6.093114460E-1,-1.240176664E1,1.240725367E0,1.247856064E1
8.630388333E-1,2.376275112E0,-1.156034296E1,-6.056651223E-1,1.181757348E1
8.730308333E-1,3.447792583E0,-7.260618069E0,3.606091914E-1,8.045737221E0
8.830218333E-1,1.566601805E0,-3.172843639E0,1.089999643E0,3.702604110E0
8.930138333E-1,5.527981067E-1,1.508353597E-1,-2.901325549E0,2.957368255E0
9.030048333E-1,3.497312068E0,5.119301623E0,-3.012256001E0,6.892904107E0
9.129968333E-1,1.008608447E1,5.244870579E-1,-1.074446634E0,1.015670332E1
9.229878333E-1,1.189967442E1,-2.863259298E0,-5.451139882E0,1.339833688E1
9.329798333E-1,1.048443423E1,-4.270315146E-1,-6.074970549E0,1.212480862E1
9.429708333E-1,9.896994874E0,2.894684574E0,-6.410842803E0,1.214201844E1
9.529628333E-1,1.069902236E1,4.746332880E0,-4.733767798E0,1.262558168E1
9.629538333E-1,1.060945705E1,2.616632513E0,-1.675088121E0,1.105501085E1
9.729458333E-1,8.017402140E0,-5.301152954E0,1.730486981E0,9.766040391E0
9.829368333E-1,7.338829840E0,-6.820781152E0,5.157413775E0,1.126855784E1
9.929288333E-1,6.185372998E0,-4.083531105E0,7.242108707E0,1.036253849E1
1.002920833E0,4.085436713E0,-3.854921345E0,8.266172515E0,9.994039211E0
1.012911833E0,1.306265053E0,-3.425335182E0,6.440575894E0,7.410820963E0
1.022903833E0,-6.841639924E-1,-1.488316943E0,5.961790674E0,6.182727208E0
1.032894833E0,-3.462141650E0,6.758580226E-1,1.167058636E0,3.715539629E0
1.042886833E0,-9.594617227E0,3.632624239E0,-1.589151592E0,1.038162036E1
1.052877833E0,-9.874591852E0,4.157159244E0,-1.996378587E0,1.089839735E1
1.062869833E0,-1.148602718E1,3.724910259E0,-2.747002033E0,1.238344851E1
1.072860833E0,-1.445581515E1,-2.846003580E-1,-2.428634005E0,1.466116817E1
1.082852833E0,-1.509840310E1,-9.424928105E0,-1.058998582E0,1.783010162E1
1.092843833E0,-1.135992028E1,-1.233330861E1,-7.010914478E0,1.817446593E1
1.102835833E0,-1.189413594E1,-4.332890879E0,-6.559874296E0,1.425750202E1
1.112826833E0,-1.562583248E1,-3.183644616E0,-1.520929788E0,1.601922161E1
1.122818833E0,-1.200667028E1,-7.074087211E0,7.953510200E0,1.604559646E1
1.132809833E0,-9.444314548E0,-9.014924852E0,8.462022665E0,1.555859168E1
1.142801833E0,-1.567974614E1,-4.397065533E0,1.040377072E1,1.932426116E1
1.152792833E0,-1.105746487E1,-6.056819623E0,4.515295941E0,1.339180685E1
1.162784833E0,-9.705740637E-1,-6.543455315E-1,-3.769954577E0,3.947497891E0
